% Model:              poly_cp_WithResults.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 21 2021, 10:33
% Dimension:          3
% Nodes:              7402
% Expressions:        1
% Description:        Volume
% x                       y                        z                        Color
1.031135114477645E-7      0                        6.031794162080348E-7     -3.7646992058456735E-12
9.879872291353714E-8      0                        6.66498901897352E-7      -4.2478513526404505E-12
1.5251287290453306E-7     0                        6.364288671567106E-7     -3.845503785742936E-12
1.481980843703057E-7      0                        6.99748352846028E-7      -4.322860187402192E-12
2.0191223436130163E-7     0                        6.696783181053866E-7     -3.946600779631434E-12
1.9759744582707428E-7     0                        7.32997803794704E-7      -4.418161436155168E-12
2.513115958180702E-7      0                        7.029277690540626E-7     -4.067990187511171E-12
1.5682766143876044E-7     0                        5.731093814673933E-7     -3.365241607868678E-12
2.06227022895529E-7       0                        6.063588324160693E-7     -3.472134346892698E-12
2.5562638435229755E-7     0                        6.396082833647454E-7     -3.599319499907954E-12
2.1054181142975636E-7     0                        5.430393467267521E-7     -2.99476213793896E-12
2.599411728865249E-7      0                        5.762887976754281E-7     -3.1277430360897373E-12
2.642559614207523E-7      0                        5.129693119861108E-7     -2.6532607960565186E-12
2.4699680728384284E-7     0                        7.662472547433799E-7     -4.533755098899381E-12
1.481980843703057E-7      0                        7.597483528460279E-7     -4.782369226683538E-12
1.9759744582707428E-7     0                        7.929978037947039E-7     -4.877844764367592E-12
9.879872291353714E-8      0                        7.86498901897352E-7      -5.167154671036994E-12
1.481980843703057E-7      0                        8.19748352846028E-7      -5.242512083660892E-12
4.939936145676857E-8      0                        8.132494509486759E-7     -5.572517769215543E-12
9.879872291353714E-8      0                        8.464989018973519E-7     -5.6277570567792825E-12
4.939936145676857E-8      0                        8.73249450948676E-7      -6.0335796837227626E-12
9.879872291353714E-8      0                        7.26498901897352E-7      -4.707186102990718E-12
4.939936145676857E-8      0                        7.53249450948676E-7      -5.112089672404333E-12
4.939936145676857E-8      0                        6.932494509486761E-7     -4.652295393289135E-12
6.600000000000009E-7      6.0E-9                   0                        2.314338128756684E-12
6.6E-7                    0                        0                        2.342939097233296E-12
6.600000000000015E-7      1.2E-8                   0                        2.2858077662985784E-12
6.600000000000024E-7      1.8E-8                   0                        2.2573480098589786E-12
6.600000000000032E-7      2.4E-8                   0                        2.228958859437886E-12
